Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
ex3data1.mat;981;Darius;Ivucic;29;"25.06.2023 23:18";ex3data1.mat
ex3data2.mat;7604;Darius;Ivucic;29;"25.06.2023 23:18";ex3data2.mat
